time,ax,ay,az,aT
7.0260,34.4060,24.7730,5.5070,42.753
7.0340,35.8000,20.1780,2.5960,41.177
7.0460,31.4640,15.0680,0.6950,34.893
7.0540,24.3350,9.7310,-0.4630,26.213
7.0660,17.3040,4.7330,-0.9140,17.963
7.0740,11.7540,0.8920,-0.3040,11.792
7.0840,8.9110,-1.7230,0.6550,9.100
7.0940,9.1620,-4.2120,1.2000,10.155
7.1050,10.5240,-6.6770,1.7120,12.580
7.1140,11.6520,-9.1340,2.0720,14.950
7.1260,12.4000,-11.7460,1.8280,17.178
7.1340,12.2880,-14.1250,1.3500,18.771
7.1470,11.9060,-16.1990,0.7360,20.117
7.1560,11.9040,-18.2730,-0.2560,21.810
7.1640,11.8750,-20.0810,-1.1330,23.357
7.1750,11.3940,-21.2530,-1.7430,24.177
7.1870,10.9020,-21.9990,-2.2290,24.653
